video_id,label,score_lie,aggregation,host,episode,group_id,fold,calibrated_threshold,windows,suspect_windows,first_window_suspect,max_identity_clusters,min_dominant_ratio,max_cosine_distance,mean_cosine_distance,clip_suspect_contamination,suspect_window_ratio,default_error,calibrated_error
YW_WILTY_EP49_lie7,1,0.5576643198728561,mean,YW,49,YW_EP49,fold1,0.516522823061262,4,4,True,8,0.25,1.208297610282898,0.495175339281559,True,1.0,0,0
SB_WILTY_EP32_lie6,1,0.5134871542453766,mean,SB,32,SB_EP32,fold2,0.525233119726181,5,5,True,7,0.3125,1.2080963850021362,0.4962398648262024,True,1.0,0,1
LS_WILTY_EP76_true13,0,0.4825998902320861,mean,LS,76,LS_EP76,fold1,0.516522823061262,5,5,True,7,0.25,1.2073900699615479,0.6207541823387146,True,1.0,0,0
LS_WILTY_EP73_ lie8,1,0.4963576853275299,mean,LS,73,LS_EP73,fold1,0.516522823061262,10,10,True,7,0.25,1.2057197093963623,0.5347206264734268,True,1.0,1,1
AN_WILTY_EP21_lie24,1,0.4401185631752014,mean,AN,21,AN_EP21,fold3,0.49876815676689146,5,5,True,6,0.3125,1.205649495124817,0.5247385799884796,True,1.0,1,1
BRI_WILTY_EP66_truth_14,0,0.4994049295783043,mean,BRI,66,BRI_EP66,fold2,0.525233119726181,4,4,True,7,0.3125,1.205091953277588,0.528020516037941,True,1.0,0,0
BRI_WILTY_EP61_truth_9,0,0.5106588701407114,mean,BRI,61,BRI_EP61,fold2,0.525233119726181,6,6,True,6,0.375,1.2041643857955933,0.47719045480092365,True,1.0,1,0
YW_WILTY_EP43_truth8,0,0.5001177281141281,mean,YW,43,YW_EP43,fold2,0.525233119726181,10,10,True,6,0.3125,1.2029657363891602,0.4394769251346588,True,1.0,1,0
LS_WILTY_EP11_truth8,0,0.5092410246531168,mean,LS,11,LS_EP11,fold3,0.49876815676689146,3,3,True,6,0.25,1.2011077404022217,0.5494064688682556,True,1.0,1,1
YW_WILTY_EP43_lie15,1,0.4924259632825851,mean,YW,43,YW_EP43,fold3,0.49876815676689146,4,4,True,6,0.25,1.2010642290115356,0.5239201188087463,True,1.0,1,1
BRI_WILTY_EP66_truth_9,0,0.4986407086253166,mean,BRI,66,BRI_EP66,fold1,0.516522823061262,4,4,True,6,0.375,1.2009916305541992,0.4549521580338478,True,1.0,0,0
LS_WILTY_EP10_lie13,1,0.4838967621326446,mean,LS,10,LS_EP10,fold2,0.525233119726181,4,4,True,6,0.5,1.2007514238357544,0.512975201010704,True,1.0,1,1
YW_WILTY_EP52_lie3,1,0.4854770541191101,mean,YW,52,YW_EP52,fold3,0.49876815676689146,10,10,True,7,0.25,1.2007136344909668,0.46706393659114837,True,1.0,1,1
BRI_WILTY_EP57_truth_31,0,0.5037714044253031,mean,BRI,57,BRI_EP57,fold3,0.49876815676689146,3,3,True,5,0.375,1.2003536224365234,0.565543512503306,True,1.0,1,1
YW_WILTY_EP48_lie11,1,0.5134082635243734,mean,YW,48,YW_EP48,fold3,0.49876815676689146,3,3,True,7,0.3125,1.1993858814239502,0.5316070020198822,True,1.0,0,0
YW_WILTY_EP52_truth10,0,0.516567662358284,mean,YW,52,YW_EP52,fold3,0.49876815676689146,4,4,True,7,0.3125,1.1957979202270508,0.3897102177143097,True,1.0,1,1
LS_WILTY_EP76_true1,0,0.4575719734032948,mean,LS,76,LS_EP76,fold3,0.49876815676689146,3,3,True,5,0.375,1.1947578191757202,0.5138404170672098,True,1.0,0,0
BRI_WILTY_EP61_lie_31,1,0.472053254644076,mean,BRI,61,BRI_EP61,fold2,0.525233119726181,6,6,True,5,0.3125,1.1945520639419556,0.5837424496809641,True,1.0,1,1
AN_WILTY_EP15_truth6,0,0.5438259740670522,mean,AN,15,AN_EP15,fold1,0.516522823061262,6,6,True,8,0.1875,1.1910743713378906,0.5642930616935095,True,1.0,1,1
LS_WILTY_EP7_truth8,0,0.5511881709098816,mean,LS,7,LS_EP7,fold1,0.516522823061262,3,3,True,5,0.375,1.189805030822754,0.5585224827130636,True,1.0,1,1
SB_WILTY_EP37_truth4,0,0.4953819587826729,mean,SB,37,SB_EP37,fold3,0.49876815676689146,8,8,True,8,0.25,1.1897114515304565,0.5763873159885406,True,1.0,0,0
LS_WILTY_EP2_truth3,0,0.4616036042571068,mean,LS,2,LS_EP2,fold3,0.49876815676689146,4,4,True,6,0.3125,1.189415454864502,0.4879189506173134,True,1.0,0,0
YW_WILTY_EP43_truth4,0,0.5316468817847115,mean,YW,43,YW_EP43,fold2,0.525233119726181,7,7,True,6,0.3125,1.1883764266967773,0.5219933773790087,True,1.0,1,1
SB_WILTY_EP41_lie1,1,0.5627116411924362,mean,SB,41,SB_EP41,fold1,0.516522823061262,4,4,True,6,0.3125,1.188114881515503,0.39116936922073364,True,1.0,0,0
YW_WILTY_EP48_lie3,1,0.4652197659015655,mean,YW,48,YW_EP48,fold1,0.516522823061262,4,4,True,4,0.375,1.1855168342590332,0.516869954764843,True,1.0,1,1
