video_id,video_path,start_time,end_time,start_seconds,end_seconds,raw_duration_seconds,expected_duration_seconds,too_long,too_short
AN_WILTY_EP16_truth14,data/raw/dolos/videos/AN_WILTY_EP16_truth14.mp4,9:40,9:47,580,587,7.08,7,False,False
AN_WILTY_EP16_truth15,data/raw/dolos/videos/AN_WILTY_EP16_truth15.mp4,9:50,9:53,590,593,3.2,3,False,False
AN_WILTY_EP16_truth16,data/raw/dolos/videos/AN_WILTY_EP16_truth16.mp4,15:57,16:06,957,966,9.24,9,False,False
AN_WILTY_EP16_truth22,data/raw/dolos/videos/AN_WILTY_EP16_truth22.mp4,23:18,23:25,1398,1405,7.2,7,False,False
AN_WILTY_EP16_truth23,data/raw/dolos/videos/AN_WILTY_EP16_truth23.mp4,23:36,23:40,1416,1420,4.08,4,False,False
AN_WILTY_EP16_truth24,data/raw/dolos/videos/AN_WILTY_EP16_truth24.mp4,23:57,24:04,1437,1444,7.24,7,False,False
AN_WILTY_EP16_truth25,data/raw/dolos/videos/AN_WILTY_EP16_truth25.mp4,25:15,25:19,1515,1519,4.2,4,False,False
AN_WILTY_EP16_truth26,data/raw/dolos/videos/AN_WILTY_EP16_truth26.mp4,25:59,26:04,1559,1564,5.08,5,False,False
AN_WILTY_EP16_truth8,data/raw/dolos/videos/AN_WILTY_EP16_truth8.mp4,5:29,5:37,329,337,8.2,8,False,False
AN_WILTY_EP16_truth9,data/raw/dolos/videos/AN_WILTY_EP16_truth9.mp4,5:55,6,355,360,5.12,5,False,False
AN_WILTY_EP17_lie1,data/raw/dolos/videos/AN_WILTY_EP17_lie1.mp4,1:43,1:48,103,108,5.2,5,False,False
AN_WILTY_EP17_lie13,data/raw/dolos/videos/AN_WILTY_EP17_lie13.mp4,23:08,23:15,1388,1395,7.24,7,False,False
AN_WILTY_EP17_lie14,data/raw/dolos/videos/AN_WILTY_EP17_lie14.mp4,23:38,23:42,1418,1422,4.04,4,False,False
AN_WILTY_EP17_lie15,data/raw/dolos/videos/AN_WILTY_EP17_lie15.mp4,24:15,24:19,1455,1459,4.08,4,False,False
AN_WILTY_EP17_lie16,data/raw/dolos/videos/AN_WILTY_EP17_lie16.mp4,25:54,25:57,1554,1557,3.24,3,False,False
AN_WILTY_EP17_lie17,data/raw/dolos/videos/AN_WILTY_EP17_lie17.mp4,26:00,26:03,1560,1563,3.16,3,False,False
AN_WILTY_EP17_lie18,data/raw/dolos/videos/AN_WILTY_EP17_lie18.mp4,26:21,26:25,1581,1585,4.08,4,False,False
AN_WILTY_EP17_lie19,data/raw/dolos/videos/AN_WILTY_EP17_lie19.mp4,26:32,26:35,1592,1595,3.08,3,False,False
AN_WILTY_EP17_lie8,data/raw/dolos/videos/AN_WILTY_EP17_lie8.mp4,16:26,16:29,986,989,3.16,3,False,False
AN_WILTY_EP17_lie9,data/raw/dolos/videos/AN_WILTY_EP17_lie9.mp4,16:33,16:39,993,999,6.12,6,False,False
AN_WILTY_EP17_truth10,data/raw/dolos/videos/AN_WILTY_EP17_truth10.mp4,20:15,20:20,1215,1220,5.08,5,False,False
AN_WILTY_EP17_truth11,data/raw/dolos/videos/AN_WILTY_EP17_truth11.mp4,20:26,20:33,1226,1233,7.12,7,False,False
AN_WILTY_EP17_truth12,data/raw/dolos/videos/AN_WILTY_EP17_truth12.mp4,20:45,20:48,1245,1248,3.16,3,False,False
AN_WILTY_EP17_truth2,data/raw/dolos/videos/AN_WILTY_EP17_truth2.mp4,8,8:04,480,484,476.2,4,True,False
AN_WILTY_EP17_truth3,data/raw/dolos/videos/AN_WILTY_EP17_truth3.mp4,8:33,8:36,513,516,3.08,3,False,False
AN_WILTY_EP17_truth4,data/raw/dolos/videos/AN_WILTY_EP17_truth4.mp4,8:50,8:53,530,533,3.08,3,False,False
AN_WILTY_EP17_truth5,data/raw/dolos/videos/AN_WILTY_EP17_truth5.mp4,9:23,9:28,563,568,5.08,5,False,False
AN_WILTY_EP17_truth6,data/raw/dolos/videos/AN_WILTY_EP17_truth6.mp4,9:49,9:55,589,595,6.12,6,False,False
AN_WILTY_EP17_truth7,data/raw/dolos/videos/AN_WILTY_EP17_truth7.mp4,16:14,16:17,974,977,3.16,3,False,False
AN_WILTY_EP18_lie10,data/raw/dolos/videos/AN_WILTY_EP18_lie10.mp4,9:42,9:48,582,588,6.208984,6,False,False
AN_WILTY_EP18_lie11,data/raw/dolos/videos/AN_WILTY_EP18_lie11.mp4,15:26,15:29,926,929,3.166992,3,False,False
AN_WILTY_EP18_lie12,data/raw/dolos/videos/AN_WILTY_EP18_lie12.mp4,15:36,15:39,936,939,3.083008,3,False,False
AN_WILTY_EP18_lie14,data/raw/dolos/videos/AN_WILTY_EP18_lie14.mp4,17:41,17:47,1061,1067,6.083984,6,False,False
AN_WILTY_EP18_lie15,data/raw/dolos/videos/AN_WILTY_EP18_lie15.mp4,17:55,18:01,1075,1081,6.166667,6,False,False
AN_WILTY_EP18_lie16,data/raw/dolos/videos/AN_WILTY_EP18_lie16.mp4,18:11,18:14,1091,1094,3.166992,3,False,False
AN_WILTY_EP18_lie17,data/raw/dolos/videos/AN_WILTY_EP18_lie17.mp4,18:16,18:19,1096,1099,3.083984,3,False,False
AN_WILTY_EP18_lie18,data/raw/dolos/videos/AN_WILTY_EP18_lie18.mp4,18:25,18:30,1105,1110,5.208008,5,False,False
AN_WILTY_EP18_lie20,data/raw/dolos/videos/AN_WILTY_EP18_lie20.mp4,20:40,20:45,1240,1245,5.166016,5,False,False
AN_WILTY_EP18_lie21,data/raw/dolos/videos/AN_WILTY_EP18_lie21.mp4,21:06,21:13,1266,1273,7.208008,7,False,False
AN_WILTY_EP18_lie22,data/raw/dolos/videos/AN_WILTY_EP18_lie22.mp4,21:26,21:30,1286,1290,4.25,4,False,False
AN_WILTY_EP18_lie6,data/raw/dolos/videos/AN_WILTY_EP18_lie6.mp4,5:07,5:10,307,310,3.083984,3,False,False
AN_WILTY_EP18_lie7,data/raw/dolos/videos/AN_WILTY_EP18_lie7.mp4,5:28,5:32,328,332,4.041667,4,False,False
AN_WILTY_EP18_lie8,data/raw/dolos/videos/AN_WILTY_EP18_lie8.mp4,5:39,5:42,339,342,3.166992,3,False,False
AN_WILTY_EP18_lie9,data/raw/dolos/videos/AN_WILTY_EP18_lie9.mp4,8:01,8:07,481,487,6.083984,6,False,False
AN_WILTY_EP18_truth1,data/raw/dolos/videos/AN_WILTY_EP18_truth1.mp4,1:48,1:53,108,113,5.041016,5,False,False
AN_WILTY_EP18_truth13,data/raw/dolos/videos/AN_WILTY_EP18_truth13.mp4,16:26,16:29,986,989,3.208984,3,False,False
AN_WILTY_EP18_truth19,data/raw/dolos/videos/AN_WILTY_EP18_truth19.mp4,19:59,20:03,1199,1203,4.041667,4,False,False
AN_WILTY_EP18_truth2,data/raw/dolos/videos/AN_WILTY_EP18_truth2.mp4,2:09,2:14,129,134,5.208008,5,False,False
AN_WILTY_EP18_truth23,data/raw/dolos/videos/AN_WILTY_EP18_truth23.mp4,22:46,22:50,1366,1370,4.208984,4,False,False
AN_WILTY_EP18_truth3,data/raw/dolos/videos/AN_WILTY_EP18_truth3.mp4,2:49,2:53,169,173,4.083008,4,False,False
AN_WILTY_EP18_truth4,data/raw/dolos/videos/AN_WILTY_EP18_truth4.mp4,2:59,3:06,179,186,7.166992,7,False,False
AN_WILTY_EP18_truth5,data/raw/dolos/videos/AN_WILTY_EP18_truth5.mp4,3:17,3:20,197,200,3.083008,3,False,False
AN_WILTY_EP19_lie1,data/raw/dolos/videos/AN_WILTY_EP19_lie1.mp4,2:11,2:17,131,137,6.208984,6,False,False
AN_WILTY_EP19_lie10,data/raw/dolos/videos/AN_WILTY_EP19_lie10.mp4,10:46,10:50,646,650,4.041992,4,False,False
AN_WILTY_EP19_lie11,data/raw/dolos/videos/AN_WILTY_EP19_lie11.mp4,16:08,16:12,968,972,4.208984,4,False,False
AN_WILTY_EP19_lie12,data/raw/dolos/videos/AN_WILTY_EP19_lie12.mp4,16:17,16:22,977,982,5.083008,5,False,False
AN_WILTY_EP19_lie13,data/raw/dolos/videos/AN_WILTY_EP19_lie13.mp4,19:34,19:38,1174,1178,4.166992,4,False,False
AN_WILTY_EP19_lie14,data/raw/dolos/videos/AN_WILTY_EP19_lie14.mp4,19:55,19:58,1195,1198,3.083008,3,False,False
AN_WILTY_EP19_lie15,data/raw/dolos/videos/AN_WILTY_EP19_lie15.mp4,22:36,22:41,1356,1361,5.125,5,False,False
AN_WILTY_EP19_lie16,data/raw/dolos/videos/AN_WILTY_EP19_lie16.mp4,22:55,22:58,1375,1378,3.166992,3,False,False
AN_WILTY_EP19_lie17,data/raw/dolos/videos/AN_WILTY_EP19_lie17.mp4,23:14,23:18,1394,1398,4.083008,4,False,False
AN_WILTY_EP19_lie18,data/raw/dolos/videos/AN_WILTY_EP19_lie18.mp4,23:22,23:27,1402,1407,5.083008,5,False,False
AN_WILTY_EP19_lie19,data/raw/dolos/videos/AN_WILTY_EP19_lie19.mp4,24:40,24:44,1480,1484,4.208008,4,False,False
AN_WILTY_EP19_lie2,data/raw/dolos/videos/AN_WILTY_EP19_lie2.mp4,3:01,3:08,181,188,7.083008,7,False,False
AN_WILTY_EP19_lie7,data/raw/dolos/videos/AN_WILTY_EP19_lie7.mp4,9:37,9:42,577,582,5.041992,5,False,False
AN_WILTY_EP19_lie8,data/raw/dolos/videos/AN_WILTY_EP19_lie8.mp4,10:12,10:17,612,617,5.208008,5,False,False
AN_WILTY_EP19_lie9,data/raw/dolos/videos/AN_WILTY_EP19_lie9.mp4,10:23,10:28,623,628,5.083984,5,False,False
AN_WILTY_EP19_truth20,data/raw/dolos/videos/AN_WILTY_EP19_truth20.mp4,25:50,25:56,1550,1556,6.041667,6,False,False
AN_WILTY_EP19_truth21,data/raw/dolos/videos/AN_WILTY_EP19_truth21.mp4,26:39,26:42,1599,1602,3.041992,3,False,False
AN_WILTY_EP19_truth3,data/raw/dolos/videos/AN_WILTY_EP19_truth3.mp4,5:24,5:28,324,328,4.208008,4,False,False
AN_WILTY_EP19_truth4,data/raw/dolos/videos/AN_WILTY_EP19_truth4.mp4,5:33,5:36,333,336,3.166992,3,False,False
AN_WILTY_EP19_truth5,data/raw/dolos/videos/AN_WILTY_EP19_truth5.mp4,6:08,6:16,368,376,8.041992,8,False,False
AN_WILTY_EP19_truth6,data/raw/dolos/videos/AN_WILTY_EP19_truth6.mp4,8:09,8:13,489,493,4.125,4,False,False
AN_WILTY_EP20_lie10,data/raw/dolos/videos/AN_WILTY_EP20_lie10.mp4,16:54,16:57,1014,1017,3.041016,3,False,False
AN_WILTY_EP20_lie12,data/raw/dolos/videos/AN_WILTY_EP20_lie12.mp4,18:54,19:01,1134,1141,7.208008,7,False,False
AN_WILTY_EP20_lie13,data/raw/dolos/videos/AN_WILTY_EP20_lie13.mp4,19:12,19:15,1152,1155,3.208984,3,False,False
AN_WILTY_EP20_lie14,data/raw/dolos/videos/AN_WILTY_EP20_lie14.mp4,24:35,24:39,1475,1479,4.041992,4,False,False
AN_WILTY_EP20_lie15,data/raw/dolos/videos/AN_WILTY_EP20_lie15.mp4,25:26,25:35,1526,1535,9.041992,9,False,False
AN_WILTY_EP20_lie16,data/raw/dolos/videos/AN_WILTY_EP20_lie16.mp4,26:05,26:10,1565,1570,5.125,5,False,False
AN_WILTY_EP20_lie5,data/raw/dolos/videos/AN_WILTY_EP20_lie5.mp4,8:54,8:57,534,537,3.083333,3,False,False
AN_WILTY_EP20_lie6,data/raw/dolos/videos/AN_WILTY_EP20_lie6.mp4,9:12,9:17,552,557,5.208008,5,False,False
AN_WILTY_EP20_lie7,data/raw/dolos/videos/AN_WILTY_EP20_lie7.mp4,9:53,9:59,593,599,6.041992,6,False,False
AN_WILTY_EP20_lie8,data/raw/dolos/videos/AN_WILTY_EP20_lie8.mp4,10:01,10:05,601,605,4.083984,4,False,False
AN_WILTY_EP20_lie9,data/raw/dolos/videos/AN_WILTY_EP20_lie9.mp4,10:12,10:16,612,616,4.208008,4,False,False
AN_WILTY_EP20_truth1,data/raw/dolos/videos/AN_WILTY_EP20_truth1.mp4,1:55,1:59,115,119,4.125,4,False,False
AN_WILTY_EP20_truth11,data/raw/dolos/videos/AN_WILTY_EP20_truth11.mp4,17:14,17:20,1034,1040,6.208984,6,False,False
AN_WILTY_EP20_truth2,data/raw/dolos/videos/AN_WILTY_EP20_truth2.mp4,5:35,5:38,335,338,3.083984,3,False,False
AN_WILTY_EP20_truth3,data/raw/dolos/videos/AN_WILTY_EP20_truth3.mp4,6:01,6:06,361,366,5.25,5,False,False
AN_WILTY_EP20_truth4,data/raw/dolos/videos/AN_WILTY_EP20_truth4.mp4,6:47,6:51,407,411,4.166016,4,False,False
AN_WILTY_EP21_lie1,data/raw/dolos/videos/AN_WILTY_EP21_lie1.mp4,1:51,1:56,111,116,5.16,5,False,False
AN_WILTY_EP21_lie10,data/raw/dolos/videos/AN_WILTY_EP21_lie10.mp4,17:35,17:40,1055,1060,5.08,5,False,False
AN_WILTY_EP21_lie11,data/raw/dolos/videos/AN_WILTY_EP21_lie11.mp4,17:44,17:48,1064,1068,4.08,4,False,False
AN_WILTY_EP21_lie12,data/raw/dolos/videos/AN_WILTY_EP21_lie12.mp4,19:52,19:56,1192,1196,4.24,4,False,False
AN_WILTY_EP21_lie13,data/raw/dolos/videos/AN_WILTY_EP21_lie13.mp4,21:47,21:52,1307,1312,5.04,5,False,False
AN_WILTY_EP21_lie14,data/raw/dolos/videos/AN_WILTY_EP21_lie14.mp4,21:56,22:03,1316,1323,7.04,7,False,False
AN_WILTY_EP21_lie15,data/raw/dolos/videos/AN_WILTY_EP21_lie15.mp4,22:12,22:17,1332,1337,5.12,5,False,False
AN_WILTY_EP21_lie16,data/raw/dolos/videos/AN_WILTY_EP21_lie16.mp4,22:43,22:46,1363,1366,3.16,3,False,False
AN_WILTY_EP21_lie17,data/raw/dolos/videos/AN_WILTY_EP21_lie17.mp4,23:01,23:06,1381,1386,5.2,5,False,False
AN_WILTY_EP21_lie18,data/raw/dolos/videos/AN_WILTY_EP21_lie18.mp4,23:36,23:40,1416,1420,4.16,4,False,False
AN_WILTY_EP21_lie22,data/raw/dolos/videos/AN_WILTY_EP21_lie22.mp4,25:36,25:40,1536,1540,4.2,4,False,False
AN_WILTY_EP21_lie23,data/raw/dolos/videos/AN_WILTY_EP21_lie23.mp4,26:04,26:08,1564,1568,4.12,4,False,False
AN_WILTY_EP21_lie24,data/raw/dolos/videos/AN_WILTY_EP21_lie24.mp4,27:10,27:15,1630,1635,5.04,5,False,False
AN_WILTY_EP21_lie5,data/raw/dolos/videos/AN_WILTY_EP21_lie5.mp4,8:34,8:41,514,521,7.04,7,False,False
AN_WILTY_EP21_lie6,data/raw/dolos/videos/AN_WILTY_EP21_lie6.mp4,8:51,8:58,531,538,7.2,7,False,False
AN_WILTY_EP21_lie7,data/raw/dolos/videos/AN_WILTY_EP21_lie7.mp4,9:02,9:05,542,545,3.12,3,False,False
AN_WILTY_EP21_lie8,data/raw/dolos/videos/AN_WILTY_EP21_lie8.mp4,9:09,9:13,549,553,4.08,4,False,False
AN_WILTY_EP21_lie9,data/raw/dolos/videos/AN_WILTY_EP21_lie9.mp4,17:19,17:22,1039,1042,3.16,3,False,False
AN_WILTY_EP21_truth19,data/raw/dolos/videos/AN_WILTY_EP21_truth19.mp4,23:44,23:47,1424,1427,3.16,3,False,False
AN_WILTY_EP21_truth2,data/raw/dolos/videos/AN_WILTY_EP21_truth2.mp4,5:44,5:49,344,349,5.12,5,False,False
AN_WILTY_EP21_truth20,data/raw/dolos/videos/AN_WILTY_EP21_truth20.mp4,24:10,24:14,1450,1454,4.08,4,False,False
AN_WILTY_EP21_truth21,data/raw/dolos/videos/AN_WILTY_EP21_truth21.mp4,24:20,24:24,1460,1464,4.04,4,False,False
AN_WILTY_EP21_truth3,data/raw/dolos/videos/AN_WILTY_EP21_truth3.mp4,5:58,6:05,358,365,7.04,7,False,False
AN_WILTY_EP21_truth4,data/raw/dolos/videos/AN_WILTY_EP21_truth4.mp4,7:04,7:10,424,430,6.2,6,False,False
AN_WILTY_EP22_lie10,data/raw/dolos/videos/AN_WILTY_EP22_lie10.mp4,8:32,8:37,512,517,5.16,5,False,False
AN_WILTY_EP22_lie11,data/raw/dolos/videos/AN_WILTY_EP22_lie11.mp4,8:58,9:02,538,542,4.08,4,False,False
AN_WILTY_EP22_lie12,data/raw/dolos/videos/AN_WILTY_EP22_lie12.mp4,9:29,9:33,569,573,4.08,4,False,False
AN_WILTY_EP22_lie16,data/raw/dolos/videos/AN_WILTY_EP22_lie16.mp4,18:08,18:11,1088,1091,3.24,3,False,False
AN_WILTY_EP22_lie17,data/raw/dolos/videos/AN_WILTY_EP22_lie17.mp4,18:18,18:22,1098,1102,4.12,4,False,False
AN_WILTY_EP22_lie21,data/raw/dolos/videos/AN_WILTY_EP22_lie21.mp4,19:50,19:53,1190,1193,3.04,3,False,False
AN_WILTY_EP22_lie22,data/raw/dolos/videos/AN_WILTY_EP22_lie22.mp4,19:57,20,1197,1200,3.2,3,False,False
AN_WILTY_EP22_lie23,data/raw/dolos/videos/AN_WILTY_EP22_lie23.mp4,20:03,20:06,1203,1206,3.24,3,False,False
AN_WILTY_EP22_lie24,data/raw/dolos/videos/AN_WILTY_EP22_lie24.mp4,20:22,20:26,1222,1226,4.2,4,False,False
AN_WILTY_EP22_lie25,data/raw/dolos/videos/AN_WILTY_EP22_lie25.mp4,21:22,21:25,1282,1285,3.16,3,False,False
AN_WILTY_EP22_lie26,data/raw/dolos/videos/AN_WILTY_EP22_lie26.mp4,21:27,21:33,1287,1293,6.08,6,False,False
AN_WILTY_EP22_lie27,data/raw/dolos/videos/AN_WILTY_EP22_lie27.mp4,23:33,23:38,1413,1418,5.04,5,False,False
AN_WILTY_EP22_lie28,data/raw/dolos/videos/AN_WILTY_EP22_lie28.mp4,24:06,24:14,1446,1454,8.08,8,False,False
AN_WILTY_EP22_lie29,data/raw/dolos/videos/AN_WILTY_EP22_lie29.mp4,24:20,24:27,1460,1467,7.04,7,False,False
AN_WILTY_EP22_lie30,data/raw/dolos/videos/AN_WILTY_EP22_lie30.mp4,26:11,26:15,1571,1575,4.04,4,False,False
AN_WILTY_EP22_lie5,data/raw/dolos/videos/AN_WILTY_EP22_lie5.mp4,4:43,4:46,283,286,3.24,3,False,False
AN_WILTY_EP22_lie6,data/raw/dolos/videos/AN_WILTY_EP22_lie6.mp4,4:54,4:59,294,299,5.04,5,False,False
AN_WILTY_EP22_lie7,data/raw/dolos/videos/AN_WILTY_EP22_lie7.mp4,5:31,5:34,331,334,3.16,3,False,False
AN_WILTY_EP22_lie8,data/raw/dolos/videos/AN_WILTY_EP22_lie8.mp4,7:29,7:36,449,456,7.12,7,False,False
AN_WILTY_EP22_lie9,data/raw/dolos/videos/AN_WILTY_EP22_lie9.mp4,8:10,8:13,490,493,3.16,3,False,False
AN_WILTY_EP22_truth1,data/raw/dolos/videos/AN_WILTY_EP22_truth1.mp4,2,2:05,120,125,123.24,5,True,False
AN_WILTY_EP22_truth13,data/raw/dolos/videos/AN_WILTY_EP22_truth13.mp4,10:46,10:52,646,652,6.2,6,False,False
AN_WILTY_EP22_truth14,data/raw/dolos/videos/AN_WILTY_EP22_truth14.mp4,11:31,11:38,691,698,7.12,7,False,False
AN_WILTY_EP22_truth15,data/raw/dolos/videos/AN_WILTY_EP22_truth15.mp4,12:08,12:15,728,735,7.08,7,False,False
AN_WILTY_EP22_truth18,data/raw/dolos/videos/AN_WILTY_EP22_truth18.mp4,18:26,18:30,1106,1110,4.08,4,False,False
AN_WILTY_EP22_truth19,data/raw/dolos/videos/AN_WILTY_EP22_truth19.mp4,19:13,19:19,1153,1159,6.04,6,False,False
AN_WILTY_EP22_truth2,data/raw/dolos/videos/AN_WILTY_EP22_truth2.mp4,2:09,2:15,129,135,6.12,6,False,False
AN_WILTY_EP22_truth20,data/raw/dolos/videos/AN_WILTY_EP22_truth20.mp4,19:35,19:39,1175,1179,4.24,4,False,False
AN_WILTY_EP22_truth3,data/raw/dolos/videos/AN_WILTY_EP22_truth3.mp4,2:31,2:34,151,154,3.12,3,False,False
AN_WILTY_EP22_truth4,data/raw/dolos/videos/AN_WILTY_EP22_truth4.mp4,3:02,3:05,182,185,3.12,3,False,False
AN_WILTY_EP23_truth1,data/raw/dolos/videos/AN_WILTY_EP23_truth1.mp4,1:52,1:58,112,118,6.12,6,False,False
AN_WILTY_EP23_truth2,data/raw/dolos/videos/AN_WILTY_EP23_truth2.mp4,3:05,3:10,185,190,5.04,5,False,False
AN_WILTY_EP23_truth3,data/raw/dolos/videos/AN_WILTY_EP23_truth3.mp4,3:23,3:27,203,207,4.04,4,False,False
AN_WILTY_EP23_truth4,data/raw/dolos/videos/AN_WILTY_EP23_truth4.mp4,3:39,3:44,219,224,5.08,5,False,False
AN_WILTY_EP23_truth5,data/raw/dolos/videos/AN_WILTY_EP23_truth5.mp4,3:49,3:54,229,234,5.04,5,False,False
AN_WILTY_EP23_truth6,data/raw/dolos/videos/AN_WILTY_EP23_truth6.mp4,5:29,5:35,329,335,6.04,6,False,False
AN_WILTY_EP23_truth7,data/raw/dolos/videos/AN_WILTY_EP23_truth7.mp4,5:47,5:50,347,350,3.04,3,False,False
AN_WILTY_EP23_truth8,data/raw/dolos/videos/AN_WILTY_EP23_truth8.mp4,5:54,5:57,354,357,3.12,3,False,False
AN_WILTY_EP23_truth9,data/raw/dolos/videos/AN_WILTY_EP23_truth9.mp4,6,6:08,360,368,362.04,8,True,False
AN_WILTY_EP24_lie1,data/raw/dolos/videos/AN_WILTY_EP24_lie1.mp4,0:03,0:06,3,6,3.12,3,False,False
AN_WILTY_EP24_lie10,data/raw/dolos/videos/AN_WILTY_EP24_lie10.mp4,6:16,6:22,376,382,6.08,6,False,False
AN_WILTY_EP24_lie13,data/raw/dolos/videos/AN_WILTY_EP24_lie13.mp4,8:29,8:33,509,513,4.08,4,False,False
